reference,degraded,moslqo,fvnsim0,fvnsim1,fvnsim2,fvnsim3,fvnsim4,fvnsim5,fvnsim6,fvnsim7,fvnsim8,fvnsim9,fvnsim10,fvnsim11,fvnsim12,fvnsim13,fvnsim14,fvnsim15,fvnsim16,fvnsim17,fvnsim18,fvnsim19,fvnsim20,fvnsim21,fvnsim22,fvnsim23,fvnsim24,fvnsim25,fvnsim26,fvnsim27,fvnsim28,fvnsim29,fvnsim30,fvnsim31,fvnsim10_0,fvnsim10_1,fvnsim10_2,fvnsim10_3,fvnsim10_4,fvnsim10_5,fvnsim10_6,fvnsim10_7,fvnsim10_8,fvnsim10_9,fvnsim10_10,fvnsim10_11,fvnsim10_12,fvnsim10_13,fvnsim10_14,fvnsim10_15,fvnsim10_16,fvnsim10_17,fvnsim10_18,fvnsim10_19,fvnsim10_20,fvnsim10_21,fvnsim10_22,fvnsim10_23,fvnsim10_24,fvnsim10_25,fvnsim10_26,fvnsim10_27,fvnsim10_28,fvnsim10_29,fvnsim10_30,fvnsim10_31,fstdnsim0,fstdnsim1,fstdnsim2,fstdnsim3,fstdnsim4,fstdnsim5,fstdnsim6,fstdnsim7,fstdnsim8,fstdnsim9,fstdnsim10,fstdnsim11,fstdnsim12,fstdnsim13,fstdnsim14,fstdnsim15,fstdnsim16,fstdnsim17,fstdnsim18,fstdnsim19,fstdnsim20,fstdnsim21,fstdnsim22,fstdnsim23,fstdnsim24,fstdnsim25,fstdnsim26,fstdnsim27,fstdnsim28,fstdnsim29,fstdnsim30,fstdnsim31,fvdegenergy0,fvdegenergy1,fvdegenergy2,fvdegenergy3,fvdegenergy4,fvdegenergy5,fvdegenergy6,fvdegenergy7,fvdegenergy8,fvdegenergy9,fvdegenergy10,fvdegenergy11,fvdegenergy12,fvdegenergy13,fvdegenergy14,fvdegenergy15,fvdegenergy16,fvdegenergy17,fvdegenergy18,fvdegenergy19,fvdegenergy20,fvdegenergy21,fvdegenergy22,fvdegenergy23,fvdegenergy24,fvdegenergy25,fvdegenergy26,fvdegenergy27,fvdegenergy28,fvdegenergy29,fvdegenergy30,fvdegenergy31
/lcncluster/lisboa/spikes_audio_diffusion/wav_inputs/visqol48/audio_1.wav,/lcncluster/lisboa/spikes_audio_diffusion/wav_outputs/tmp_visqol/audio_1.wav,2.60231488,0.853893607,0.946917401,0.842888332,0.899983054,0.885277954,0.897820404,0.895340996,0.843062979,0.858106824,0.79396956,0.70092316,0.610177019,0.738276099,0.741449913,0.707051993,0.746721287,0.871633714,0.780421075,0.780420323,0.824937148,0.4566129,-0.467750586,-0.666381026,-0.334273025,-0.0755726542,-0.0365012189,-0.0835960971,0.216967016,0.47290753,0.834856513,0.997150855,0.994997022,0.644220013,0.909803194,0.351125642,0.775439687,0.818021522,0.820236513,0.841481873,0.769375223,0.727384578,0.486840428,0.552644414,0.376837181,0.49494149,0.512172826,0.341764116,0.218420963,0.733978447,0.57166603,0.601166874,0.6170077,-0.0179558094,-0.861464957,-0.790729664,-0.838663595,-0.416678646,-0.0964176822,-0.228011486,0.0449234707,0.0815695406,0.722654287,0.990767055,0.987595035,0.244425211,0.064844121,0.285397745,0.156915444,0.166061183,0.15213347,0.142697593,0.236927715,0.189979999,0.290728614,0.313607427,0.392774667,0.307765706,0.299783346,0.340211311,0.3335311,0.146132921,0.19953579,0.215413296,0.155268493,0.396575623,0.502084776,0.248001726,0.286962842,0.206539068,0.101525876,0.133674252,0.164281361,0.344345991,0.27785091,0.00276115269,0.005265522,19.0085461,24.4096527,27.0833915,29.3089054,29.2021025,28.2730856,29.5479773,28.3727337,27.678978,25.5907303,25.8805937,25.335242,24.8021067,23.1258024,21.7107552,19.585979,17.5233637,14.4731246,12.752787,9.13514187,4.55998348,4.34576138,5.857191,6.84321784,7.11979974,7.10237022,5.95832562,3.32089488,0.587407563,0,0,3.70682187
/lcncluster/lisboa/spikes_audio_diffusion/wav_inputs/visqol48/audio_2.wav,/lcncluster/lisboa/spikes_audio_diffusion/wav_outputs/tmp_visqol/audio_2.wav,2.37529615,0.837485978,0.921007902,0.887025889,0.881363952,0.84294209,0.89621516,0.885141783,0.949581549,0.940544273,0.736129813,0.641843372,0.586297707,0.570432242,0.7232223,0.606171648,0.510802422,0.599395188,0.799593643,0.733054073,0.645843188,0.433910269,-0.0724066791,-0.507886298,-0.33443655,-0.0823207971,0.00203279283,-0.00362909257,0.0289935979,0.182675916,0.984755616,0.888833836,0.832505204,0.640873369,0.869390883,0.797556363,0.642763659,0.627907192,0.793465361,0.745068776,0.855074575,0.831208231,0.398945546,0.342205327,0.14618919,0.0972966301,0.463194532,0.439245353,0.389202006,0.464480357,0.677315869,0.562891864,0.521128871,0.280035308,-0.31720873,-0.641029653,-0.698461838,-0.26894672,-0.0539550252,-0.0299606474,0.000149379603,0.0409547233,0.902325192,0.775599222,0.723882049,0.223238422,0.123720344,0.161256142,0.237224368,0.27078067,0.196379938,0.212748313,0.0940938715,0.109583146,0.398263137,0.36353036,0.452167038,0.524896995,0.352074961,0.382598408,0.421650867,0.375159719,0.183904737,0.272485553,0.274491899,0.366721087,0.45483071,0.296623526,0.308149847,0.213899332,0.0643530258,0.0390086147,0.0961640706,0.303500646,0.0752710506,0.211591136,0.27484685,13.8663867,19.2967479,22.3854983,24.0374068,25.8280995,24.6768877,26.9775791,26.8283551,23.8865681,22.4231011,20.8841978,20.0838846,21.1629546,19.5626436,17.4002159,17.1048521,15.1783482,13.3822421,10.1227976,7.31846007,3.27544838,2.08831478,2.99427753,3.97363263,4.23614191,4.2349036,3.26956707,0.796019551,0.0388460208,0,0,1.29983958
/lcncluster/lisboa/spikes_audio_diffusion/wav_inputs/visqol48/audio_3.wav,/lcncluster/lisboa/spikes_audio_diffusion/wav_outputs/tmp_visqol/audio_3.wav,2.79424515,0.311456838,0.514299809,0.638252692,0.869140888,0.915069195,0.844995198,0.917458553,0.859807287,0.724510605,0.798356721,0.749223041,0.744404457,0.782390608,0.766305594,0.782815822,0.632843531,0.583255939,0.709099941,0.616575483,0.488714339,0.272738364,0.111535448,-0.104430415,-0.265039719,-0.0997353452,0.0146549229,0.0269344805,0.0343328165,0.920993333,0.993780196,0.965598329,0.942308536,-0.0472233854,0.149897941,0.323558231,0.67307135,0.792171198,0.638139671,0.767734981,0.686602393,0.497870285,0.602316746,0.425366999,0.323773836,0.539230854,0.510449246,0.610037031,0.0194306275,0.26116196,0.43670441,0.312296897,0.325013123,0.113427115,0.0236340778,-0.214877271,-0.496665754,-0.25284593,-0.0121728294,6.7268796e-05,0.00515402289,0.773134362,0.949981781,0.871264537,0.795244054,0.537997279,0.46183261,0.410706851,0.18212044,0.148775554,0.29754118,0.14859858,0.200472829,0.338720973,0.322991552,0.368196255,0.343486147,0.274877204,0.348779898,0.240085705,0.43300371,0.417388559,0.285675658,0.332466333,0.277107241,0.274402308,0.207125147,0.18839773,0.307247518,0.226161946,0.109710575,0.0996537548,0.120913528,0.228630114,0.0518129917,0.116089063,0.166152989,12.6247368,13.9317613,14.8272922,16.7504302,21.1926213,20.4881574,20.8231994,22.9116087,24.6648733,22.3451741,21.7404855,22.2131212,21.5574883,18.6820694,16.9608374,14.1492899,13.1635154,10.7633615,7.91605504,5.38889348,1.88082978,0.498321256,0.388601796,1.6131703,1.94612352,2.07852996,1.34627031,0.084229469,0.0119612763,0,0,0.576868496
/lcncluster/lisboa/spikes_audio_diffusion/wav_inputs/visqol48/audio_4.wav,/lcncluster/lisboa/spikes_audio_diffusion/wav_outputs/tmp_visqol/audio_4.wav,4.33189671,0.385771396,0.590122067,0.837529539,0.787114529,0.736736741,0.853928932,0.771907932,0.849466074,0.82946231,0.72375234,0.546457381,0.612552007,0.63979047,0.518703335,0.554490985,0.62067678,0.576246542,0.474036366,0.264627028,0.205840123,0.297942094,0.508167989,0.630847844,0.709920732,0.814332432,0.890214928,0.956427152,0.975282659,0.989145199,1,0.958984589,0.936266405,-0.0623681512,0.0358006735,0.744754525,0.372771269,0.488646401,0.527059373,0.344871557,0.419074793,0.410997868,0.27323035,0.248289022,0.19450065,0.120115461,-0.0493756872,0.174073177,0.267679205,0.0345237352,0.0112406695,0.0203558578,-0.0171567281,0.00469386025,0.000683076865,0.000243857143,0.0612123821,0.112206641,0.385926833,0.772567942,0.847220831,0.930245874,1,0.763646812,0.654258623,0.580264094,0.468090567,0.20624901,0.347523391,0.334457622,0.204905871,0.390512174,0.276366565,0.264105332,0.378534073,0.494533548,0.410955405,0.392981347,0.498794971,0.389368477,0.349006347,0.37198929,0.348157987,0.280053661,0.338991433,0.415726676,0.478194409,0.473768275,0.451402947,0.394964793,0.308469574,0.178062522,0.129668006,0.0856986342,0,0.166771622,0.219030921,13.6591249,14.9415211,17.6598278,18.8278132,21.7661735,20.6887874,20.301463,21.0582208,17.5892301,16.434272,14.2539814,13.6157306,13.2774393,12.333476,10.1318009,8.40557433,6.5321105,4.89699161,2.46386168,1.32143723,0.531347984,0.201765419,0.0602320692,0.0319054748,0.0398471823,0.0558393281,0.0341661726,0.0129318001,0,0,0,0.20606703
/lcncluster/lisboa/spikes_audio_diffusion/wav_inputs/visqol48/audio_5.wav,/lcncluster/lisboa/spikes_audio_diffusion/wav_outputs/tmp_visqol/audio_5.wav,2.86250826,0.314073859,0.818018048,0.839920716,0.812007136,0.755236983,0.839234191,0.774822714,0.865304787,0.916393397,0.865735749,0.746998958,0.748265599,0.676007894,0.695848211,0.653507046,0.659105466,0.375324534,0.146140109,0.104577559,0.0605100178,0.0133959673,0.00914626876,-0.000812324302,-6.94203444e-05,6.79140276e-06,8.42927423e-06,1.92135188e-05,0.00149265254,0.981127247,1,0.999632305,0.99529191,0.00854756984,0.500189593,0.553659188,0.650258365,0.502776536,0.562367313,0.3007884,0.632374435,0.801573408,0.491319429,0.104488735,0.444024196,0.352030527,-0.0476295278,0.230247647,0.445516473,-0.260018046,-0.201450674,-0.167321953,-0.112168838,-0.0254746778,9.85205008e-06,-0.00738605572,-0.000681885007,5.84231145e-06,7.948034e-06,1.77781028e-05,0.00134755941,0.933588453,1,0.996690747,0.957627192,0.543700783,0.264712733,0.294093865,0.297486008,0.323876993,0.242000904,0.37181857,0.219039798,0.124643737,0.297100417,0.379051124,0.291076889,0.327476425,0.387308212,0.392581483,0.320375725,0.450392198,0.467389102,0.383780696,0.353226606,0.15847678,0.0349589691,0.00752560965,0.000855489154,9.55510802e-07,9.77488254e-07,2.95768201e-06,0.000311498024,0.111418705,0,0.00702906622,0.0596372113,11.394772,11.3521715,18.57246,19.980572,21.163334,20.8748894,22.1180453,21.2995368,19.52613,19.6328806,15.7344962,14.0084355,12.0830781,12.4171771,8.54452368,5.93716595,4.68599638,3.72650099,3.67511413,3.07547248,3.30572496,3.07611319,3.24967305,3.81092676,3.91515634,3.53835892,2.44579568,0.00522302611,0,0,0,0.000155914399
/lcncluster/lisboa/spikes_audio_diffusion/wav_inputs/visqol48/audio_6.wav,/lcncluster/lisboa/spikes_audio_diffusion/wav_outputs/tmp_visqol/audio_6.wav,2.8429742,0.710323771,0.684371418,0.620290031,0.913719066,0.972449502,0.891230512,0.844837617,0.843296719,0.928011451,0.868184657,0.791883769,0.669469246,0.540134166,0.579570464,0.377562153,0.324381296,0.4052897,0.346901647,0.246145216,0.067310944,0.000513994456,4.08307435e-05,1.98106731e-05,1.35141809e-05,9.8525019e-06,9.00726045e-06,1.56107854e-05,0.00110639329,0.918588779,1,1,1,0.558243525,0.603878598,0.216151792,0.718725468,0.904850253,0.426349243,0.359986978,0.558507346,0.836046181,0.639558395,0.464399691,0.091559528,0.0319263809,0.364652049,0.14021611,-0.00136328704,0.067868759,0.0997735974,0.129590096,0.0103264868,0.00018960237,2.8430762e-05,1.71294873e-05,1.25637243e-05,8.80669974e-06,8.32466466e-06,1.49033769e-05,0.00100804251,0.837327815,1,1,1,0.298516921,0.179856008,0.315021631,0.14430896,0.0489000025,0.320613229,0.296049415,0.239613343,0.104458962,0.183041517,0.282579054,0.418021155,0.452671923,0.287828429,0.376529408,0.363198097,0.409419901,0.447704227,0.383256287,0.176983344,0.000747987134,2.39478922e-05,5.56390248e-06,2.27092396e-06,1.45439037e-06,1.2194962e-06,2.70336771e-06,0.000315761979,0.211419794,0,0,0,9.96817345,5.15882952,3.70535056,8.62700919,17.6336808,16.9061913,9.60461778,12.5584354,13.8369099,11.2825276,10.6280065,6.75092389,7.40669438,4.6419147,2.3156239,1.41992117,0.648174433,0.19728799,0.267822186,0.0923460909,0.619060456,1.746228,2.32565793,2.73933723,3.24239862,3.4477602,2.78015513,0.0228396692,0,0,0,0
/lcncluster/lisboa/spikes_audio_diffusion/wav_inputs/visqol48/audio_7.wav,/lcncluster/lisboa/spikes_audio_diffusion/wav_outputs/tmp_visqol/audio_7.wav,2.42813073,0.847031328,0.895527393,0.870550619,0.863508452,0.853357357,0.833963152,0.897101578,0.885508796,0.90144812,0.90684576,0.74368845,0.484314691,0.533958209,0.682922866,0.673857806,0.736258802,0.778200382,0.783259261,0.571774382,0.201073188,-0.20810148,-0.262180438,-0.170550427,-0.0403429069,-0.00463239609,0.000631238732,1.03675728e-05,0.000257326278,0.119303118,1,0.940446389,0.893019093,0.269876547,0.76343758,0.696548631,0.712625709,0.583963428,0.245404831,0.576930301,0.736705027,0.600451159,0.825916484,0.519964976,-0.10948296,0.218153152,0.485335583,0.321839452,0.141309642,0.4840395,0.460089653,0.280325553,-0.0104380689,-0.657202261,-0.482992491,-0.443232202,-0.132726287,-0.0316846383,-0.000122637056,9.64229711e-06,0.000145343393,0.0270251078,1,0.839864714,0.718660722,0.324854402,0.139322683,0.191934248,0.177596194,0.210853825,0.304642049,0.219585425,0.203100567,0.219795051,0.15035722,0.333434259,0.559462161,0.560380016,0.398204729,0.395244887,0.343658953,0.241436142,0.193660452,0.248555083,0.325159615,0.417446528,0.361333904,0.260340353,0.151412441,0.0492272564,0.00579781142,1.38692278e-06,0.000194458097,0.20540341,0,0.187083725,0.265449731,13.0842057,18.0608105,21.5222369,23.7144935,24.7225454,24.1506141,23.8738238,23.9467095,23.1260241,20.0786826,18.9307335,17.6613208,18.304281,17.5282526,16.7474931,14.1482982,11.6992789,7.87934708,4.42500709,2.03708542,1.95482949,2.19984447,3.11629194,4.1223368,4.35936203,4.26295063,3.33093137,0.48883888,0,0,0,0.101316786
/lcncluster/lisboa/spikes_audio_diffusion/wav_inputs/visqol48/audio_8.wav,/lcncluster/lisboa/spikes_audio_diffusion/wav_outputs/tmp_visqol/audio_8.wav,4.50483634,0.824743718,0.855400598,0.699242953,0.450844578,0.770706603,0.799302831,0.727066709,0.582624497,0.661068478,0.506284902,0.636175336,0.525642292,0.447892665,0.452000626,0.62768221,0.597094297,0.429496546,0.481368873,0.668558364,0.635729019,0.670652405,0.739058221,0.81213552,0.910126617,0.947570208,0.980294691,0.987666812,0.991354624,1,1,1,1,0.508556661,0.531610033,0.358474287,-0.447166607,0.311507023,0.308485775,0.208855668,0.0497664693,-0.0941832724,0.0644409421,0.192401744,-0.103613886,-0.00974507979,0.0814686187,0.263014992,0.246439196,0.00321906741,0.0133422479,0.18934717,0.070263461,0.0711511356,0.0804010244,0.204951209,0.535003269,0.725467232,0.897920635,0.889001312,0.922191615,1,1,1,1,0.217447656,0.191890971,0.275091739,0.556319602,0.305072145,0.377637529,0.347767453,0.479016581,0.429349288,0.504807232,0.419006021,0.507159645,0.482707804,0.403996444,0.296763757,0.315124132,0.406276055,0.436805446,0.414208504,0.450715033,0.45035597,0.421580674,0.380615601,0.277926339,0.215042609,0.129128351,0.108410591,0.0878863303,0,0,0,0,5.45703166,10.553726,13.6357549,15.5046395,15.1175608,17.3854719,16.0151017,15.2985952,14.3175471,11.9060345,9.54834119,8.2898031,8.51615832,6.73345538,6.99963715,3.61537859,2.25294395,1.67863564,1.07491626,0.389814494,0.101584768,0.0144420239,0.00469752732,0.00914588491,0.00646600415,0.00274397633,0.00423928036,0,0,0,0,0
/lcncluster/lisboa/spikes_audio_diffusion/wav_inputs/visqol48/audio_9.wav,/lcncluster/lisboa/spikes_audio_diffusion/wav_outputs/tmp_visqol/audio_9.wav,2.37580164,0.290861306,0.536871222,0.782030228,0.903533029,0.810117297,0.828475516,0.838388207,0.838368066,0.853306317,0.84350929,0.693751452,0.519912108,0.593362033,0.656577778,0.684906984,0.584282783,0.44537745,0.203239097,0.0967302149,-0.201256343,-0.119499082,-0.0144387492,-0.000527611331,3.07398539e-06,2.7482821e-06,2.88024404e-06,4.40349008e-06,2.55675577e-05,0.00264231156,1,0.99667287,0.994551314,-0.182724675,0.134573256,0.561797508,0.809336265,0.439408873,0.672744368,0.645445225,0.599508504,0.514505481,0.62103791,0.293610078,-0.0223654086,0.189640856,0.0288922389,0.484321995,0.112528148,0.208515454,-0.110391872,-0.425402417,-0.458978628,-0.419830936,-0.080764887,-0.00438798695,2.95707107e-06,2.61732532e-06,2.70627617e-06,4.19102968e-06,2.17017899e-05,0.00214256464,1,0.970055834,0.950961824,0.558089034,0.458649518,0.24779617,0.141392476,0.301417077,0.241869617,0.23248067,0.287015372,0.298131113,0.236422238,0.397711981,0.483430161,0.439528329,0.395572275,0.322793856,0.376062089,0.406184988,0.415465144,0.459473006,0.320158086,0.217565991,0.0549559738,0.00399498893,2.78498998e-07,2.31390957e-07,2.59968211e-07,4.39137114e-07,7.02660574e-06,0.000937616165,0,0.030697662,0.0427677834,11.6052475,11.9653188,15.1313058,18.5261099,20.6691153,22.3259382,20.4951319,21.6526142,19.3167425,16.726271,14.1035526,12.4952089,12.8436384,12.5522233,9.22657983,7.00747657,4.71892759,3.89273635,3.25496594,3.4853512,4.34172519,4.65439826,5.16513125,5.74409296,6.09244797,6.00583001,5.00516064,1.89648134,0,0,0,0.00404105093
/lcncluster/lisboa/spikes_audio_diffusion/wav_inputs/visqol48/audio_10.wav,/lcncluster/lisboa/spikes_audio_diffusion/wav_outputs/tmp_visqol/audio_10.wav,2.49493574,0.183157555,0.249432756,0.295204534,0.386406017,0.509469839,0.665184434,0.783870423,0.790376019,0.773899636,0.749521029,0.773915861,0.795492282,0.855697332,0.829221025,0.825811458,0.761189496,0.671446115,0.619093814,0.546637496,0.740862685,0.694617086,0.400748671,0.110969377,-0.150543887,-0.402971902,-0.151913798,0.0813188429,0.121672131,0.530888958,0.963493182,0.93482318,0.89173427,0.00157498977,-0.0092438059,0.0834086812,0.0139566646,-0.0194656095,0.275739387,0.342278768,0.394489191,0.468780963,0.438675591,0.495773592,0.605179294,0.637172204,0.630843103,0.697472481,0.488321358,0.552971814,0.460441955,0.179206669,0.518870748,0.379841463,0.0198486275,-0.25827359,-0.320170063,-0.67084214,-0.402832587,-0.0310287838,0.0141711949,0.155491514,0.85095324,0.854989236,0.746927299,0.569121042,0.527646094,0.488466633,0.48189912,0.461714827,0.395983937,0.341809637,0.335565479,0.293765386,0.345780376,0.317916393,0.279245567,0.243362195,0.258961747,0.238494,0.321543268,0.31408126,0.353918353,0.441262678,0.227823699,0.222605686,0.289068275,0.264150768,0.286819062,0.292824378,0.282171186,0.168494666,0.219401014,0.417429145,0.133911098,0.163310666,0.224903845,15.5231053,16.5287081,16.8712617,17.2691154,18.3914187,19.6693393,22.3359713,22.7184629,22.9165902,22.9600154,23.7437826,24.5940543,25.2121687,24.1166261,22.3459909,20.1039196,18.3426945,16.454888,13.7135535,12.0311666,7.58336012,3.62314403,1.44142807,1.38583791,1.87785836,2.87794537,2.43538467,0.569834196,0.0452602002,0,0,1.66993373
