reference,degraded,moslqo,fvnsim0,fvnsim1,fvnsim2,fvnsim3,fvnsim4,fvnsim5,fvnsim6,fvnsim7,fvnsim8,fvnsim9,fvnsim10,fvnsim11,fvnsim12,fvnsim13,fvnsim14,fvnsim15,fvnsim16,fvnsim17,fvnsim18,fvnsim19,fvnsim20,fvnsim21,fvnsim22,fvnsim23,fvnsim24,fvnsim25,fvnsim26,fvnsim27,fvnsim28,fvnsim29,fvnsim30,fvnsim31,fvnsim10_0,fvnsim10_1,fvnsim10_2,fvnsim10_3,fvnsim10_4,fvnsim10_5,fvnsim10_6,fvnsim10_7,fvnsim10_8,fvnsim10_9,fvnsim10_10,fvnsim10_11,fvnsim10_12,fvnsim10_13,fvnsim10_14,fvnsim10_15,fvnsim10_16,fvnsim10_17,fvnsim10_18,fvnsim10_19,fvnsim10_20,fvnsim10_21,fvnsim10_22,fvnsim10_23,fvnsim10_24,fvnsim10_25,fvnsim10_26,fvnsim10_27,fvnsim10_28,fvnsim10_29,fvnsim10_30,fvnsim10_31,fstdnsim0,fstdnsim1,fstdnsim2,fstdnsim3,fstdnsim4,fstdnsim5,fstdnsim6,fstdnsim7,fstdnsim8,fstdnsim9,fstdnsim10,fstdnsim11,fstdnsim12,fstdnsim13,fstdnsim14,fstdnsim15,fstdnsim16,fstdnsim17,fstdnsim18,fstdnsim19,fstdnsim20,fstdnsim21,fstdnsim22,fstdnsim23,fstdnsim24,fstdnsim25,fstdnsim26,fstdnsim27,fstdnsim28,fstdnsim29,fstdnsim30,fstdnsim31,fvdegenergy0,fvdegenergy1,fvdegenergy2,fvdegenergy3,fvdegenergy4,fvdegenergy5,fvdegenergy6,fvdegenergy7,fvdegenergy8,fvdegenergy9,fvdegenergy10,fvdegenergy11,fvdegenergy12,fvdegenergy13,fvdegenergy14,fvdegenergy15,fvdegenergy16,fvdegenergy17,fvdegenergy18,fvdegenergy19,fvdegenergy20,fvdegenergy21,fvdegenergy22,fvdegenergy23,fvdegenergy24,fvdegenergy25,fvdegenergy26,fvdegenergy27,fvdegenergy28,fvdegenergy29,fvdegenergy30,fvdegenergy31
/lcncluster/lisboa/spikes_audio_diffusion/wav_inputs/visqol48/audio_1.wav,/lcncluster/lisboa/spikes_audio_diffusion/wav_outputs/tmp_visqol/audio_1.wav,2.31911754,0.714152362,0.694010781,0.402897789,0.27398491,0.10863931,0.342973293,0.36371101,0.272142852,0.497692071,0.491692342,0.103943643,0.148980623,0.409435972,0.547357539,0.652198118,0.763617228,0.83533718,0.597978291,0.653929967,0.810546805,0.595473333,0.479012715,0.477265588,0.108673884,-0.0324853793,-0.0157712934,-0.0537784459,0.17170369,0.328418124,0.501114232,0.9563091,0.937234632,0.31410951,0.516960545,0.00539670218,-0.0313489758,-0.208038564,-0.00266328088,-0.064316698,-0.160391127,0.235883105,0.0537651745,-0.418471071,-0.16517374,0.114976523,0.35686352,0.286633979,0.607707776,0.757276514,0.2419078,0.439484781,0.624010234,0.244080116,0.2147612,0.330358924,-0.0150334968,-0.14724511,-0.0601729012,-0.170314587,0.0378717758,0.0642229097,0.239120764,0.897929321,0.875318902,0.33825439,0.241092002,0.413668624,0.475138841,0.53370591,0.509669117,0.521042001,0.550280509,0.431767479,0.411736689,0.511319564,0.481560675,0.418749922,0.359546018,0.273873049,0.218281534,0.129993633,0.306932466,0.261266677,0.162914596,0.30726503,0.308146752,0.203046718,0.1806089,0.107292963,0.0815138652,0.10595705,0.137517871,0.270697897,0.379208089,0.068499154,0.0763307161,19.1960905,23.1974683,25.511622,27.0981696,27.9203999,28.5903397,29.7401483,29.1880553,28.8967571,26.663433,25.4357176,24.8770994,24.4825763,23.5222723,22.1769599,20.658933,18.8470671,16.9936478,15.1340958,12.7561586,11.0248012,10.9265907,9.78755498,9.12068981,9.61675788,9.50747677,8.16738091,5.14925297,1.05893229,0,0,3.73207565
/lcncluster/lisboa/spikes_audio_diffusion/wav_inputs/visqol48/audio_2.wav,/lcncluster/lisboa/spikes_audio_diffusion/wav_outputs/tmp_visqol/audio_2.wav,2.00165886,0.697787776,0.700758344,0.413213282,0.330883423,0.189824977,0.19415596,0.279035052,0.399365952,0.459878121,0.269548134,0.253096886,0.141060531,0.267452684,0.607512841,0.48735725,0.327946501,0.479131839,0.650421664,0.659985071,0.440483223,-0.12413063,-0.0531385817,0.354649113,0.181413114,0.0258684684,0.00527853044,-0.0046735524,0.0120644083,0.0298134072,0.551555553,0.658391021,0.582285121,0.382460405,0.640932823,0.0264981674,-0.0149972326,-0.180594698,-0.0873918829,-0.149268204,0.0563803687,-0.0499457042,-0.370691215,-0.127003317,-0.18486115,0.115144404,0.41897204,0.246542188,-0.00572282865,0.16717074,0.483326525,0.374837845,0.028136889,-0.50200287,-0.20023211,0.120877369,0.0246182493,-0.00523086426,-0.00405173374,-0.0234764939,5.19946757e-06,0.000384555005,0.107691942,0.48016429,0.394876502,0.296310174,0.206025342,0.406388808,0.434910182,0.471819077,0.518763698,0.520191928,0.453276245,0.511477663,0.572419123,0.466847001,0.536765022,0.469824123,0.322136612,0.397249454,0.440802537,0.364337735,0.227185343,0.290631675,0.479832244,0.454748139,0.313062534,0.260041304,0.198416889,0.10730857,0.0291588816,0.0199665976,0.0446816369,0.106266408,0.463523033,0.365235407,0.380018095,17.8476718,21.2843585,23.9821224,25.3584925,26.5064278,26.5872019,26.7646906,28.2342607,27.364739,24.6129679,23.0325762,22.2660652,21.9321012,20.8820742,19.1829907,17.3244955,15.2155486,13.317551,11.7635775,10.4040672,10.1676064,11.0827672,10.2910611,9.29583002,9.1121976,9.13967498,8.00689554,4.95817686,0.551341999,0,0,2.22654772
/lcncluster/lisboa/spikes_audio_diffusion/wav_inputs/visqol48/audio_3.wav,/lcncluster/lisboa/spikes_audio_diffusion/wav_outputs/tmp_visqol/audio_3.wav,1.95478825,0.287766162,0.266782483,0.29735147,0.434964421,0.543334697,0.36265207,0.50325227,0.486104569,0.320531547,0.364163474,0.0875447987,0.0788483497,0.392446297,0.404592795,0.437858893,0.456758003,0.373641618,0.286834303,0.101176464,0.0013329725,-0.266724246,-0.00731004173,0.203179546,0.0716026358,0.0093696202,0.019339657,0.00437418971,0.0075011107,0.0133371222,0.28233884,0.763239715,0.717170191,0.107036482,-0.20656699,-0.107850494,0.278710149,0.297478864,-0.252283516,-0.17959972,-0.0472674146,-0.149931906,-0.298008043,-0.531448329,-0.0391198588,-0.0135271894,-0.085751428,-0.0302938678,0.192613419,-0.16262302,-0.140255346,-0.344929399,-0.329323462,-0.531817019,-0.251963944,0.00242992084,7.51965891e-07,-0.018821651,8.12981287e-07,1.08901101e-06,1.86657783e-06,2.86396202e-05,0.00654916384,0.12642722,0.101666707,0.505669284,0.481763658,0.465907051,0.393876422,0.369119718,0.527132852,0.434496684,0.481210057,0.483045,0.466030664,0.53471749,0.479900041,0.390612522,0.442272748,0.381463808,0.377792926,0.443090587,0.439305862,0.511221523,0.499992409,0.344564378,0.27857142,0.252367728,0.14719181,0.0919970739,0.0790375123,0.0195322453,0.0379181913,0.0749007045,0.390541577,0.365047937,0.388194584,16.3293563,17.5587504,19.469321,21.3541587,22.8723278,23.6535201,22.1555413,23.7998352,23.7315887,20.7332364,18.3076045,18.0567169,17.8615959,16.3589609,15.0936832,13.8073928,12.8200247,12.0156929,11.6066613,11.5332601,12.0027324,12.4587627,11.8913307,11.4580418,11.4674801,11.3074916,10.0808327,6.85474828,0.69214886,0,0,0.809212575
/lcncluster/lisboa/spikes_audio_diffusion/wav_inputs/visqol48/audio_4.wav,/lcncluster/lisboa/spikes_audio_diffusion/wav_outputs/tmp_visqol/audio_4.wav,3.05934076,0.0654021654,0.0824404517,0.183041377,0.209810155,0.150955385,0.0546877033,0.227302755,0.299499468,0.317459314,0.275228482,0.167593963,0.0607108225,0.177715191,0.233410569,0.33630935,0.390350768,0.38013154,0.345978179,0.277634553,0.182113996,0.207981439,0.239069057,0.251915598,0.315294239,0.375389112,0.45798142,0.508203848,0.520671919,0.532771545,0.871820213,0.743886345,0.692768871,-0.0268011869,-0.00598379232,-0.00895523572,-0.0464918855,-0.0120966121,-0.289655608,-0.104717379,-0.0193099891,-0.0306705065,-0.0216386884,-0.00684651936,-0.200533259,-0.0302029532,0.000425855972,0.0164147313,0.0202642181,0.0143555411,0.00793847629,-0.042813296,-0.272379771,-0.147235851,-0.0128994859,-0.0116467811,-0.0134940922,9.42773863e-07,9.75353223e-07,1.2423083e-06,3.0497676e-06,0.000205253269,0.6377783,0.0553413415,0.0178537223,0.366242934,0.355149902,0.297870367,0.350751824,0.332771899,0.329360677,0.379606308,0.417297897,0.402566619,0.403434696,0.328140235,0.351292008,0.36772453,0.372685557,0.389253847,0.395424472,0.405861012,0.431824895,0.452257247,0.500852066,0.461858224,0.435431233,0.430625381,0.464714544,0.483108703,0.497876413,0.500889641,0.501454065,0.49707959,0.311227661,0.420072719,0.451364502,6.00126405,6.40472774,7.18276891,7.87789996,8.64656914,9.40093046,9.87637282,11.571262,10.2863497,8.71978075,8.10363512,7.83155102,7.66790876,6.99446885,6.23857596,5.73727272,5.06520737,4.60623125,4.38318278,4.29360385,4.52022857,4.74610877,4.5014011,4.28768284,4.37216135,4.32665215,3.87262243,2.54256994,0.138873472,0.0638886011,0.0635506398,0.144918051
/lcncluster/lisboa/spikes_audio_diffusion/wav_inputs/visqol48/audio_5.wav,/lcncluster/lisboa/spikes_audio_diffusion/wav_outputs/tmp_visqol/audio_5.wav,3.75869375,0.0145931936,0.0609251764,0.0776676498,0.0206260862,0.0223409114,0.0125665104,0.0154832794,0.0220715416,0.0539680454,0.0127703812,0.0224979544,0.0484395144,0.067231407,0.080640701,0.030937786,-0.0579795781,-0.0557849523,-0.0105668082,0.0862382441,0.230067157,0.381426929,0.624917364,0.786636053,0.793161433,0.800002072,0.800002008,0.800002544,0.800005176,0.80007835,0.810405681,1,1,-0.0401884607,0.0190708667,0.00467482737,-0.0359766656,-0.0724788463,-0.102482928,-0.0253661759,-0.185451479,-0.0691460233,-0.0431305068,-0.0325548759,-0.0330602651,-0.0335046138,-0.00645147547,-0.0173630608,-0.148428063,-0.141423607,-0.0380315489,-0.0330710001,-0.0348035718,-0.00605122222,0.20396795,0.666668928,0.666669193,0.666668832,0.666668766,0.666669329,0.666672095,0.666749968,0.678165954,1,1,0.232001353,0.164985759,0.21640578,0.183315167,0.215972585,0.223959318,0.205032683,0.262930938,0.228539464,0.237727648,0.212066222,0.20381508,0.223286037,0.223544846,0.177201474,0.178764761,0.171630344,0.107602552,0.318818033,0.428754695,0.483205125,0.475953423,0.409039024,0.403926828,0.400529151,0.400529279,0.400528204,0.400522925,0.400376319,0.382091763,0,0,2.5905916,2.42354915,2.64456718,2.87776084,3.09961187,3.28244268,3.30353281,3.20018813,2.59586275,2.57856536,2.50217682,2.25509573,2.01778759,1.63176151,1.37501978,1.48316574,1.5962573,1.68661296,1.67887774,1.85785188,1.90400078,2.04188894,1.9795508,1.8625377,2.01086541,2.06237294,1.8013752,1.28055754,0.175883173,0,0,0
/lcncluster/lisboa/spikes_audio_diffusion/wav_inputs/visqol48/audio_6.wav,/lcncluster/lisboa/spikes_audio_diffusion/wav_outputs/tmp_visqol/audio_6.wav,3.78424305,0.0405714147,0.0419814371,0.0552985057,0.0680638555,0.0228610361,-0.0909593352,-0.0428596487,-0.0117961,-0.0125528826,0.0382674403,0.0587692338,0.0531629118,-0.0111855991,-0.0207315696,-0.00720011546,0.0286386459,0.119891063,0.401768158,0.716760481,0.800004534,0.800003862,0.800003096,0.800003297,0.800002819,0.800002369,0.800002215,0.800002724,0.800005852,0.800124432,0.817265212,1,1,-0.0321521076,0.00915264178,-0.00195740832,0.00914103495,0.00672073954,-0.207360662,-0.193479727,-0.193162695,-0.0689016095,-0.0597823595,-0.0602475196,-0.0228898419,-0.0557750519,-0.045873951,-0.024194228,-0.0024404713,-0.000297488743,-0.0185268396,0.0912688772,0.66667141,0.666670705,0.666669913,0.6666701,0.666669603,0.666669138,0.666668984,0.666669516,0.666672787,0.666798651,0.686518883,1,1,0.222022831,0.183418202,0.176844554,0.184715354,0.159980338,0.268265522,0.229774123,0.185159182,0.187676638,0.184034597,0.224862481,0.205246322,0.161862711,0.131471115,0.10093113,0.132053522,0.30261921,0.473619736,0.446838089,0.400524214,0.400525561,0.400527097,0.400526694,0.400527653,0.400528555,0.400528864,0.400527842,0.40052157,0.400284149,0.372974772,0,0,2.27522028,1.88407662,2.0822564,2.47824481,2.60684042,2.56576618,3.00942142,2.46472792,2.31461783,2.31441435,1.64997968,1.38451461,1.19645496,1.2306776,1.25348503,1.22876269,1.14448789,1.13140854,1.23799759,1.36992273,1.42675719,1.62225894,1.6230543,1.751337,1.87371414,1.94349026,1.78639295,1.24726554,0.137880457,0,0,0
/lcncluster/lisboa/spikes_audio_diffusion/wav_inputs/visqol48/audio_7.wav,/lcncluster/lisboa/spikes_audio_diffusion/wav_outputs/tmp_visqol/audio_7.wav,2.22263644,0.551323478,0.566304075,0.503928272,0.397957349,0.209520068,0.221009709,0.358890635,0.302477291,0.31703348,0.414500798,0.319034658,0.162793105,0.102034941,0.263025721,0.272568935,0.460935313,0.536649289,0.455053939,0.228395775,-0.135355508,-0.314984956,-0.0655426455,0.187436835,0.164840627,0.155452407,0.160913652,0.161730649,0.161732531,0.161899168,0.376554098,0.664362722,0.567641757,-0.0187203015,0.10262219,0.126380918,0.0893427082,-0.0756771904,-0.300672349,-0.269392118,-0.247206962,-0.323641612,0.17390449,0.0839881273,0.0337632615,-0.170273974,0.0177185483,-0.000966283998,0.0505289929,0.0788620939,-0.00659096118,-0.0746303301,-0.296422948,-0.644352449,-0.224805415,0.00417873908,-0.010589804,-0.011541256,-0.000533870798,1.02445674e-06,2.2630072e-06,9.78497944e-05,0.218170799,0.389053632,0.211146619,0.431719066,0.356442717,0.353472956,0.386962609,0.467931154,0.49181251,0.526330132,0.566103927,0.55769737,0.459411472,0.451492702,0.450017292,0.502404726,0.37883521,0.451512698,0.378513389,0.348961534,0.375289192,0.432689459,0.413847109,0.320744143,0.203221778,0.321587639,0.344968303,0.338748135,0.340713045,0.34190576,0.341904864,0.341828489,0.426987526,0.420656001,0.468359208,12.842966,15.3425529,17.2163316,19.0010405,20.0611656,19.9805786,21.4150625,20.2382974,20.1310015,18.3608716,16.6687579,15.7283191,15.1334299,13.8285351,12.4317221,11.0974055,9.91390283,9.06583409,8.69060573,8.59798424,9.17938093,9.73509591,9.448714,9.10829058,9.23349963,9.25449713,8.25963684,5.67539543,0.546828891,0.076389996,0.0755153216,0.316718291
/lcncluster/lisboa/spikes_audio_diffusion/wav_inputs/visqol48/audio_8.wav,/lcncluster/lisboa/spikes_audio_diffusion/wav_outputs/tmp_visqol/audio_8.wav,3.61476921,0.0644627273,0.0963119978,0.10688478,0.0793555633,0.0516438438,0.0332956195,0.0589153939,0.0451347369,0.0997695936,0.117363545,0.110716954,0.103053726,0.104916153,0.102913925,0.115016404,0.118945056,0.196863723,0.240482146,0.433084382,0.471544673,0.524984105,0.578586619,0.647646038,0.710537868,0.720593658,0.725927985,0.725928218,0.725930483,0.726000536,0.735818673,1,1,-0.0241595499,0.00373517386,0.00103079255,-0.071821404,-0.0442544711,-0.0454628885,-0.0219664735,-0.163557498,-0.022810708,-0.0351808779,-0.0963914138,-0.0525528927,-0.0116154666,-0.0660410091,-0.0543424354,-0.0994397446,-0.119763296,-0.0982705829,-0.0691280278,-0.218614564,-0.308593236,-0.273474888,-0.118514408,-0.039322168,-0.00341562203,5.89454033e-07,7.10206189e-07,1.38611488e-06,1.37451332e-05,0.00179887223,1,1,0.261481057,0.24445148,0.25765667,0.279905956,0.258040898,0.245600053,0.30198802,0.322968223,0.28898887,0.309396043,0.316705988,0.282596556,0.300262753,0.298689997,0.365000488,0.385955492,0.507160809,0.487978458,0.535437147,0.559302116,0.557902192,0.549210129,0.497480975,0.461201592,0.44950894,0.44789445,0.447894071,0.447890386,0.447776521,0.434541376,0,0,3.27267455,3.55841863,4.2934803,4.78370084,4.95300834,5.24756794,5.03987621,4.72903203,4.24578613,3.56333642,3.15666114,2.86780021,2.6036393,2.15635994,1.97395025,1.97262158,1.95332102,2.17483432,2.21341758,2.25862977,2.45463181,2.63613124,2.74596028,2.85088872,3.06306839,3.09267604,2.83691205,2.06069964,0.432162087,0,0,0
/lcncluster/lisboa/spikes_audio_diffusion/wav_inputs/visqol48/audio_9.wav,/lcncluster/lisboa/spikes_audio_diffusion/wav_outputs/tmp_visqol/audio_9.wav,3.75295766,-0.00434852043,0.0315464803,0.0351832665,0.0358953127,0.0455915049,0.0540430928,0.0311801326,0.0213173154,0.0381190393,0.0972359639,0.0795468292,0.0305676446,0.00542159158,0.0698656258,0.0891178506,0.0606848029,0.0597682955,0.0647435973,0.105546097,0.217630294,0.377197292,0.562071798,0.774903632,0.797357236,0.797357271,0.797356982,0.797357742,0.797362234,0.797633489,0.809895559,0.98814174,0.976891825,-0.0570173399,-0.08059353,-0.0337421657,-0.0318876267,-0.0586902436,-0.0245396138,-0.0430808369,-0.061254524,-0.0966267148,0.00454596235,-0.0432985385,-0.0582308267,-0.128722111,0.0111062386,0.00328113462,-0.00259625262,0.00341210212,-0.0312191249,-0.0495154308,-0.029120151,-0.0524274269,-0.000157889198,0.569519476,0.600002212,0.600002281,0.600002071,0.60000262,0.600005733,0.600065491,0.607424823,0.94543915,0.885415053,0.22531332,0.213169399,0.21865272,0.204505315,0.199004303,0.216415414,0.194415844,0.21310784,0.204884674,0.249549744,0.242653603,0.19487564,0.228707923,0.209056869,0.240933024,0.194000714,0.180473157,0.262672948,0.346681594,0.417389329,0.481735084,0.495036158,0.413691746,0.402538729,0.40253866,0.402539237,0.40253772,0.402528765,0.401995826,0.384196297,0.0923027524,0.142967499,2.56655805,2.63805724,2.9013718,3.02675238,3.55199692,3.76467836,3.67683821,3.63894272,3.51785269,3.2482623,2.99799301,2.70840694,2.6789443,2.36551356,2.11575211,1.96886858,1.84087308,1.84024285,1.85976659,1.90269931,1.92560841,2.04001922,2.0518753,2.08314363,2.13843825,2.18168299,1.98299345,1.41663056,0.357551395,0,0,0.00143738931
/lcncluster/lisboa/spikes_audio_diffusion/wav_inputs/visqol48/audio_10.wav,/lcncluster/lisboa/spikes_audio_diffusion/wav_outputs/tmp_visqol/audio_10.wav,1.92301379,0.310275379,0.213923069,0.0637080764,0.243052061,0.330176162,0.389117038,0.440115926,0.279412377,0.180799633,0.138164829,0.0556228557,0.0402762887,0.16607509,0.281539925,0.438718602,0.520680911,0.455456248,0.499379112,0.413349716,0.346997952,-0.122271617,0.00881874769,0.545177337,0.356025771,0.129255789,0.145745613,0.032664363,0.0300831237,0.0373087478,0.116703897,0.632440338,0.574250414,-0.062857557,-0.103140156,-0.257840699,0.0159782468,-0.061504904,0.0603958639,0.0256060991,-0.128543874,-0.168172407,-0.39980562,-0.332606744,-0.205348644,-0.0788891507,-0.0132288104,0.211860034,0.208060203,-0.151268066,0.238259109,0.0438522923,-0.319489012,-0.553285293,-0.153784051,0.397348834,0.270532348,0.000923643366,-0.000340505033,-0.0122125247,0.00179576265,0.00109261654,0.00524281808,0.227942384,0.201780817,0.541544688,0.445402138,0.460364842,0.41733926,0.419981557,0.461527421,0.408551309,0.537561829,0.501552168,0.612432868,0.520098653,0.495020455,0.501357721,0.525423882,0.451628267,0.382057716,0.473456862,0.364831782,0.41071648,0.433588658,0.493330141,0.434155382,0.288413007,0.261699672,0.230181476,0.196359472,0.0800707691,0.0711827334,0.112963796,0.25767172,0.383286818,0.382037462,18.0073849,21.0784538,23.3445,25.0714785,26.6037122,28.0804787,27.41389,27.717931,27.6175196,25.8453136,23.9784631,23.2299736,22.996052,21.7752036,20.3165227,18.5390165,16.5528837,14.8737991,13.5106007,12.3096019,12.0634133,12.7727756,12.116062,11.2742629,11.0918425,10.9418088,9.93049875,6.8444028,1.21907227,0,0,2.68750758
